W50 regime probe -- class 4, Q order 2^243, layers [ 5, 14, 49, 175 ]

regime      |  t   s | v2(t) v2(s) | #lvl1 | verdict
------------+--------+-------------+-------+----------
handle      |  0   1 |  99     0   |     0 | INFEASIBLE
handle      |  0   2 |  99     1   |     6 | INFEASIBLE
handle      |  0   3 |  99     0   |     0 | INFEASIBLE
handle      |  0   4 |  99     2   |     6 | INFEASIBLE
handle      |  0   5 |  99     0   |     0 | INFEASIBLE
handle      |  0   6 |  99     1   |     6 | INFEASIBLE
handle      |  0   7 |  99     0   |     0 | INFEASIBLE
handle      |  1   0 |   0    99   |     0 | INFEASIBLE
handle      |  1   1 |   0     0   |     0 | INFEASIBLE
handle      |  1   2 |   0     1   |     0 | INFEASIBLE
handle      |  1   3 |   0     0   |     0 | INFEASIBLE
handle      |  1   4 |   0     2   |     0 | INFEASIBLE
handle      |  1   5 |   0     0   |     0 | INFEASIBLE
handle      |  1   6 |   0     1   |     0 | INFEASIBLE
handle      |  1   7 |   0     0   |     0 | INFEASIBLE
handle      |  2   0 |   1    99   |     6 | INFEASIBLE
handle      |  2   1 |   1     0   |     0 | INFEASIBLE
handle      |  2   2 |   1     1   |     6 | INFEASIBLE
handle      |  2   3 |   1     0   |     0 | INFEASIBLE
handle      |  2   4 |   1     2   |     6 | INFEASIBLE
handle      |  2   5 |   1     0   |     0 | INFEASIBLE
handle      |  2   6 |   1     1   |     6 | INFEASIBLE
handle      |  2   7 |   1     0   |     0 | INFEASIBLE
handle      |  3   0 |   0    99   |     0 | INFEASIBLE
handle      |  3   1 |   0     0   |     0 | INFEASIBLE
handle      |  3   2 |   0     1   |     0 | INFEASIBLE
handle      |  3   3 |   0     0   |     0 | INFEASIBLE
handle      |  3   4 |   0     2   |     0 | INFEASIBLE
handle      |  3   5 |   0     0   |     0 | INFEASIBLE
handle      |  3   6 |   0     1   |     0 | INFEASIBLE
handle      |  3   7 |   0     0   |     0 | INFEASIBLE
handle      |  4   0 |   2    99   |     6 | INFEASIBLE
handle      |  4   1 |   2     0   |     0 | INFEASIBLE
handle      |  4   2 |   2     1   |     6 | INFEASIBLE
handle      |  4   3 |   2     0   |     0 | INFEASIBLE
handle      |  4   4 |   2     2   |     6 | INFEASIBLE
handle      |  4   5 |   2     0   |     0 | INFEASIBLE
handle      |  4   6 |   2     1   |     6 | INFEASIBLE
handle      |  4   7 |   2     0   |     0 | INFEASIBLE
handle      |  5   0 |   0    99   |     0 | INFEASIBLE
handle      |  5   1 |   0     0   |     0 | INFEASIBLE
handle      |  5   2 |   0     1   |     0 | INFEASIBLE
handle      |  5   3 |   0     0   |     0 | INFEASIBLE
handle      |  5   4 |   0     2   |     0 | INFEASIBLE
handle      |  5   5 |   0     0   |     0 | INFEASIBLE
handle      |  5   6 |   0     1   |     0 | INFEASIBLE
handle      |  5   7 |   0     0   |     0 | INFEASIBLE
handle      |  6   0 |   1    99   |     6 | INFEASIBLE
handle      |  6   1 |   1     0   |     0 | INFEASIBLE
handle      |  6   2 |   1     1   |     6 | INFEASIBLE
handle      |  6   3 |   1     0   |     0 | INFEASIBLE
handle      |  6   4 |   1     2   |     6 | INFEASIBLE
handle      |  6   5 |   1     0   |     0 | INFEASIBLE
handle      |  6   6 |   1     1   |     6 | INFEASIBLE
handle      |  6   7 |   1     0   |     0 | INFEASIBLE
handle      |  7   0 |   0    99   |     0 | INFEASIBLE
